placeName,scientificName
Bandipura National Park,Cassia auriculata L.
Bandipura National Park,Pterolobium indicum A.Rich.
Bandipura National Park,Dodonaea viscose
Bandipura National Park,Loranthus
Bandipura National Park,Acacia procera (Roxb.) Willd.
Bandipura National Park,Azadirachta indica A. Juss.
Bandipura National Park,Acacia leucophloea (Roxb.) Willd.
Bandipura National Park,Cudranis javanensis
Bandipura National Park,Ziziphus jujuba Miller
Bandipura National Park,Cassia tora L.
Bandipura National Park,Cordia myxa L.
Bandipura National Park,Zizyphus trinervia
Bandipura National Park,Strychnos potatorum L. fil.
Bandipura National Park,Cipadessa bacciferra
Bandipura National Park,Erythroxylon monogynum
Bandipura National Park,Hymenodictyon excelsum (Roxb.) Wall.
Bandipura National Park,Premna tomentosa Willd.
Bandipura National Park,Entada scandens (L.) Benth.
Bandipura National Park,Celastrus paniculatus
Bandipura National Park,Trema orientalis (L.) Bl.
Bandipura National Park,Bischofia javanica Blume
Bandipura National Park,Odina wodier Roxb.
Bandipura National Park,Ficus mysorensis Heyne ex Roth
Bandipura National Park,Caesalpinia bonducella (L.) Fleming
Bandipura National Park,Machilus macrantha Nees
Bandipura National Park,Cordia macleodis
Bandipura National Park,Terminalia paniculata Roth
Bandipura National Park,Stephegyne parviflora
Bandipura National Park,Spatholobus roxburghii Benth.
Bandipura National Park,Lantana camara L.
Bandipura National Park,Stereosperumum suaveolens
Bandipura National Park,Ougeaia dalbergioides
Bandipura National Park,Argyreia cuneata Willd. ex Ker-Gawl.
Bandipura National Park,Plumeria acutifolia Poir.
Bandipura National Park,Plumeria pentagyna
Bandipura National Park,Randia dumeterum
Bandipura National Park,Agave
Bandipura National Park,Careya arborea Roxb.
Bandipura National Park,Terminalia tomentosa Wight & Arn.
Bandipura National Park,Streblus asper Lour.
Bandipura National Park,Elaeodendron glaucum (Rottb.) Pers.
Bandipura National Park,Erythrina suberosa Roxb.
Bandipura National Park,Butea frondosa Willd.
Bandipura National Park,Lagerstroemia lanceolata Wall.
Bandipura National Park,Vitex altissima L.f.
Bandipura National Park,Indigoferra pulchella
Bandipura National Park,Eugenia jambolana Lam.
Bandipura National Park,Eucalyptus
Bandipura National Park,Stereosperumum xylocarpum
Bandipura National Park,Opuntia dillenii (Ker Gawl.) Haw.
Bandipura National Park,Wendlandia
Bandipura National Park,Michelia champaka
Bandipura National Park,Cassia siamea Lam.
Bandipura National Park,Anona squamosa
Bandipura National Park,Sterculia villosa Roxb.
Bandipura National Park,Ocimum sanctum L.
Bandipura National Park,Gmelina asiatica L.
Bandipura National Park,Gymnosporia montana (Roth) Benth.
Bandipura National Park,Diospyros melanoxylon Roxb.
Bandipura National Park,Adina cordifolia (Roxb.) Brandis
Bandipura National Park,Bauhinia racemosa Lam.
Bandipura National Park,Alangium lamarckii Thwaites
Bandipura National Park,Wrightia tinctoria
Bandipura National Park,Spondias mangifera Willd.
Bandipura National Park,Curcuma longa L.
Bandipura National Park,Ficus glomerata Roxb.
Bandipura National Park,Caryota urens L.
Bandipura National Park,Kydia calycina Roxb.
Bandipura National Park,Bambusa arundinacea (Retz.) Willd.
Bandipura National Park,Dendrocalamus strictus (Roxb.) Nees
Bandipura National Park,Gardenia gummifera L.f.
Bandipura National Park,Dalbergia paniculata
Bandipura National Park,Terminalia arjuna (Roxb.) Wight & Arn.
Bandipura National Park,Albizzia odoratissima
Bandipura National Park,Bombax malabaricum DC.
Bandipura National Park,Schleichera trijuga Willd.
Bandipura National Park,Lagerstroemia parviflora Roxb.
Bandipura National Park,Albizzia amara
Bandipura National Park,Zizyphus xylopyrus
Bandipura National Park,Andropogon serratus Miq.
Bandipura National Park,Anogeissus latifolia (DC.) Wallich ex Guill. et Perr.
Bandipura National Park,Phoenix humilis Royle ex Becc.
Bandipura National Park,Calotropis gigantea (L.) W. T. Aiton
Bandipura National Park,Santalum album L.
Bandipura National Park,Schrebera swietenoides
Bandipura National Park,Garuga pinnata Roxb.
Bandipura National Park,Ixora parviflora Lam.
Bandipura National Park,Abrus precatorius L.
Bandipura National Park,Solanum ferox L.
Bandipura National Park,Saccaopetalum tomentosa
Bandipura National Park,Lagerstroemia flosreginae
Bandipura National Park,Pterocarpus marsupium Roxb.
Bandipura National Park,Melia composita Benth.
Bandipura National Park,Fluggea microcarpa
Bandipura National Park,Capparis stylosa DC.
Bandipura National Park,Tamarindus indica L.
Bandipura National Park,Diospyros montana Roxb.
Bandipura National Park,Jasminum
Bandipura National Park,Wendlandia notoniana Wall. ex Wight & Arn.
Bandipura National Park,Cassia fistula L.
Bandipura National Park,Limonia acidissima L.
Bandipura National Park,Strychnos nuxvomica
Bandipura National Park,Hydnocarpus wightiana Blume
Bandipura National Park,Pavetta indica L.
Bandipura National Park,Ventilago madraspatna
Bandipura National Park,Hemidesmus indicus (L.) R. Br.
Bandipura National Park,Solanum indicum L.
Bandipura National Park,Dragia volubilis
Bandipura National Park,Ficus bengalensis
Bandipura National Park,Terminalia chebula Retz.
Bandipura National Park,Sapindus emarginatus
Bandipura National Park,Ficus religiosa L.
Bandipura National Park,Odina wodier Roxb.
Bandipura National Park,Clematis gouriana Roxb.
Bandipura National Park,Ochna squarrosa Kurz
Bandipura National Park,Bridelia retusa (L.) A.Juss.
Bandipura National Park,Albizzia lebbeck
Bandipura National Park,Ficus tsiela Roxb.
Bandipura National Park,Ficus infectoria Roxb.
Bandipura National Park,Dalbergia latifolia Roxb.
Bandipura National Park,Zizyphus rugosa
Bandipura National Park,Fluggea spp
Bandipura National Park,Aegle marmelos (L.) Correa
Bandipura National Park,Acacia arabica (Lam.) Willd.
Bandipura National Park,Artocarpus integrifolia
Bandipura National Park,Cryptolepis buchanani Roemer et Schultes
Bandipura National Park,Caesaria tomentosa
Bandipura National Park,Dalbergia lanceolata Zipp. ex Span.
Bandipura National Park,Pongamia glabra Vent.
Bandipura National Park,Bassia latifolia Roxb.
Bandipura National Park,Acacia intisa
Bandipura National Park,Ficus asperrima Roxb.
Bandipura National Park,Bauhinia racemosa Lam.
Bandipura National Park,Ichnocarpus wightiana
Bandipura National Park,Capparis horrida
Bandipura National Park,Caesalpinia mimosoides Lam.
Bandipura National Park,Acacia catechu (L.f.) Willd.
Bandipura National Park,Gloriosa superba L.
Bandipura National Park,Protium saudatum
Bandipura National Park,Holarrhena artidysenterica
Bandipura National Park,Hellecteres isora
Bandipura National Park,Vitex neugundo
Bandipura National Park,Tabernaemontana heyneana Wall.
Bandipura National Park,Morinda tinctoria
Bandipura National Park,Asparagus racemosus Willd.
Bandipura National Park,Jasminum arborescens Roxb.
Bandipura National Park,Cipadesa fruiticosa
Bandipura National Park,Mangifera indica L.
Bandipura National Park,Lasiosiphon eriocephelus
Bandipura National Park,Acacia suma (Roxb.) Voigt
Bandipura National Park,Buchanania latifolia Roxb.
Bandipura National Park,Tectona grandis L.f.
Bandipura National Park,Glochidion neiligherrense
Bandipura National Park,Flaccourtia aspiaria
Bandipura National Park,Psidium guava
Bandipura National Park,Terminalia belerica
Bandipura National Park,Zizyphys oemoplia
Bandipura National Park,Grewia tiliaefolia
Bandipura National Park,Aristolochia indica L.
Bandipura National Park,Holoptelea integrifolia Planch.
Bandipura National Park,Leucas aspera (Willd.) Link
Bandipura National Park,Abutilon indicum (L.) Sweet
Bandipura National Park,Jatropha curcas L.
